run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
132,4.2580766,0.9928387,0.3319597,0.2733693,0.10143273,0.01504069,-0.036597091,-0.008710305,0.00112314,0.9388389,0.8331983,0.9534643
133,3.9742129,0.9716523,0.3310362,0.22009156,0.08654041,0.01084536,-0.005201564,-0.001372422,0.00023684,0.9620214,0.8389028,0.9845284
134,3.868936,0.9042384,0.3234692,0.192457311,0.067568266,0.009745901,0.066969973,0.015912072,-0.001403417,0.9688106,0.915431,0.9771062
135,3.7763646,0.9101955,0.3277912,0.17384986,0.08926473,0.01144908,0.004041889,-0.000634323,0.001733368,0.9729254,0.9262213,0.9777858
136,3.7232028,0.9552738,0.3094226,0.21516562,0.07475346,0.0105414,0.032746009,0.028276336,-0.004314129,0.929605,0.9418093,0.97847
137,3.847114,0.9248022,0.3349716,0.1977628,0.08202627,0.01088945,-0.029744788,-0.028539306,0.003957494,0.9616872,0.922158,0.9871698
138,3.9343662,0.8803116,0.3056636,0.223584492,0.07966374,0.009454777,0.00937905,0.006671816,0.000202315,0.9470168,0.8928285,0.9877584
139,4.033005,0.9601255,0.3093578,0.24069553,0.09107596,0.01106654,0.046663496,0.030343636,-0.002636544,0.9628271,0.8491749,0.9767811
140,3.769324,0.9577788,0.3368765,0.22414942,0.08295072,0.01188492,0.01753673,-0.004095894,0.002011255,0.9684859,0.9327335,0.9814116
141,3.954727,0.9097295,0.3148534,0.2559002,0.12961784,0.01875333,-0.03964066,-0.009591265,-0.000265881,0.939157,0.8199652,0.9298421
142,3.7083008,0.8702257,0.320338,0.198619563,0.053473591,0.007072951,-0.067115102,-0.017853757,0.002234763,0.918165,0.964962,0.9949584
143,3.3893837,0.9203487,0.3156889,0.19484681,0.090605,0.01188517,0.014246272,0.003344071,-0.00074493,0.9699217,0.8393804,0.970446
144,4.1560303,0.9764419,0.3259888,0.19162918,0.09984284,0.01369185,0.054889082,0.0313768,-0.002717151,0.9554458,0.8893962,0.9740082
145,3.7018793,0.8688801,0.320865,0.26048915,0.09901536,0.01315318,-0.058724041,-0.02189665,0.003999395,0.9158508,0.8019727,0.9188009
146,3.7064584,0.8474655,0.32611,0.27321364,0.09406719,0.01186406,-0.042484401,-0.010549561,0.001136319,0.9244891,0.8397116,0.9800246
147,3.6295654,0.8745384,0.3158845,0.2235637,0.07834389,0.0113234,-0.008731291,-0.019411975,0.003817204,0.9580985,0.7958244,0.972871
148,3.8220189,0.9494234,0.3097149,0.20803334,0.08904763,0.01114284,0.016919233,0.025323311,-0.004030674,0.9492015,0.9054553,0.9713239
